backend,run,seconds
cpu,1,35.6494
cpu,2,35.539
cpu,3,35.4693
avx2,1,10.0387
avx2,2,10.3757
avx2,3,9.87912
openmp,1,9.53844
openmp,2,9.67984
openmp,3,9.46252
cuda,1,0.0168212
cuda,2,0.0167107
cuda,3,0.0177058
