backend,run,seconds
cpu,1,35.6814
cpu,2,35.441
cpu,3,35.3474
avx2,1,10.0484
avx2,2,10.498
avx2,3,10.209
openmp,1,9.36451
openmp,2,9.54817
openmp,3,9.76135
cuda,1,0.683427
cuda,2,0.0176769
cuda,3,0.0174437
